Id,Fertilizer Sources,N,P,K,Price_Bag,Price-Cart,Price-Tractor,Type
1,10:26:26,10,26,26,1150,0,0,Inorganic
2,12:32:16,12,32,16,1232,0,0,Inorganic
3,14:28:14,14,28,14,353,0,0,Inorganic
4,14:35:14,14,35,14,1223,0,0,Inorganic
5,15:15:15,15,15,15,256,0,0,Inorganic
6,16:20:00,16,20,0,955,0,0,Inorganic
7,17:17:17,17,17,17,985,0,0,Inorganic
8,19:19:19,19,19,19,325,0,0,Inorganic
9,20:20:00,20,20,0,650,0,0,Inorganic
10,20:20:0-13S,20,20,0,946,0,0,Inorganic
11,23:23:00,23,23,0,308,0,0,Inorganic
12,28:28:00,28,28,0,1235,0,0,Inorganic
13,Ammonium Sulphate,21,0,0,518,0,0,Inorganic
14,Anhydrous Ammonia,82,0,0,386,0,0,Inorganic
15,Calcium Ammonium Nitrate,25,0,0,526,0,0,Inorganic
16,Diammonium Phosphate,18,46,0,1245,0,0,Inorganic
17,Muriate of Potash,0,0,60,874,0,0,Inorganic
18,Single Super Phosphate,0,16,0,402,0,0,Inorganic
19,Triple Super Phosphate,0,46,0,373,0,0,Inorganic
20,Urea,46,0,0,278,0,0,Inorganic
21,Zincated Urea,43,0,0,295,0,0,Inorganic
22,Biogas Slurry,1.41,0.72,0.84,0,200,1000,Organic
23,Blood Meal,11,1.2,1,0,200,1000,Organic
24,Castor Cake,4.37,1.85,1.39,0,200,1000,Organic
25,Cattle dung,0.35,0.12,0.17,0,200,1000,Organic
26,Coir dust,0.2,0.18,0.96,0,200,1000,Organic
27,Cotton cake,3.9,1.8,1.6,0,200,1000,Organic
28,Fish Meal,7,6,2,0,200,1000,Organic
29,FYM,0.75,0.2,0.5,0,200,1000,Organic
30,Green Manure ( Cluster bean),1.85,1.35,1.6,0,200,1000,Organic
31,Green Manure ( Cow pea),1.2,0.45,1.5,0,200,1000,Organic
32,Green Manure (Dhaincha),1.5,0.6,1.2,0,200,1000,Organic
33,Green Manure ( Mung Bean),2.5,0.4,1.4,0,200,1000,Organic
34,Green Manure ( Sunhemp),1.3,0.5,1.4,0,200,1000,Organic
35,Hair/Wool waste,12.3,0.1,0.3,0,200,1000,Organic
36,Linseed Cake,5.5,4.4,1.2,0,200,1000,Organic
37,Mahua Cake,2.5,0.8,1.8,0,200,1000,Organic
38,Meat Meal,10,2.5,0.5,0,200,1000,Organic
39,Neem Cake,5.22,1.08,1.48,0,200,1000,Organic
40,Poultry Manure,2.87,2.9,2.35,0,200,1000,Organic
41,Pressmud,2.1,4.4,0.8,0,200,1000,Organic
42,Rapeseed Cake,5.1,1.8,1,0,200,1000,Organic
43,Rural Compost,0.75,0.2,0.5,0,200,1000,Organic
44,Sesame Cake,6.2,2,1.2,0,200,1000,Organic
45,Sheep+ Goat droppings,0.65,0.5,0.03,0,200,1000,Organic
46,Urban Compost,1.75,1,1.5,0,200,1000,Organic
47,Water Hyacinth compost,2,1,2.3,0,200,1000,Organic
